Topic	Question	Answer
Evolutionary Algorithms	How does natural evolution achieve improvement?	3 principles: small random changes, selection of good individuals, and replenishing the population.
Evolutionary Algorithms	How does Hill-Climbing work?	Considering a single individual x \in R^d: apply a small change (using an operator), reject if F(x') < F(x) and accept otherwise, continue until no further improvements can be achieved.
Evolutionary Algorithms	What are the main considerations in Hill-Climbing?	The choice of operators.
Evolutionary Algorithms	How does the traditional annealing process in metals work?	Atoms at higher temperatures are more random, when cooling down they will settle into a perfect crystal locally. If done repeatedly, the crystals will become the dominant phase of the metal.
Evolutionary Algorithms	How does Simulated Annealing work?	Repeatedly choose a possible solution x_t \in X, determine energy using the Boltzmann distribution, if the energy is worse than the previous one just continue, otherwise accept with probability exp(-1/T * \Delta F) or continue.
Evolutionary Algorithms	What are the main considerations in Simulated Annealing?	1. What neighbourhoods to use for selecting new solutions: randomly in an e-ball, temperature-dependent, or adaptive. \n2. How to change the temperature: using T(t) = T_0 / log(1 + t), reducing quicker leads to getting stuck in local minimum; possibly non-monotomous and adaptive schemes; fast annealing scheme uses Cauchy instead of Boltzmann.
Evolutionary Algorithms	How does Evolution Strategies work?	They create noisy versions of a population of initial solutions through mutation and select the best ones according to fitness.
Evolutionary Algorithms	What are the main considerations in Evolutionary Strategies?	1. Multidimensional mutations: generate offspring using y = x + N(0, C'), where C' is the covariance matrix C after mutating the \sigma values. \n2. Nested ES: if there are hills of hills, find local maximum and generate 3 offspring populations that evolve in isolation. \n3. Naming conventions: (\mu, \lambda) - from \mu parents \lambda children are generated, selection only from \lambda; (\mu + \lambda) - same but selection from both; (\mu', \lambda'(\mu, \lambda)^{gamma}) - hierarchical nested variant, from \mu' parent sub-populations, \lambda' are generated, isolate for \gamma generations while generating \lambda children and \mu are selected, the best \mu' subpopulations then become parents for the new cycle.
GA	How does the canonical GA work?	Given an adequate representation of the candidate solutions (usually strings of characters, or binary), initialize randomly and repeat until solutions are good enough: evaluate fitness, select intermediate population, do crossover or reproduction, and mutate.
GA	What are the most common ways of doing selection for the intermediate population in GA?	1. Choose max fitness. \n2. Roulette Wheel Selection: compute mean and normalized fitness, at each iteration select an individual using stochastic sampling with replacement. \n3. Roulette Wheel Selection (variant): same but using remainder stochastic sampling. In this case, if the fitness of the individual is equal to the mean it survives, if its less it survives with probability f_i / f, otherwise it gives offsprings int(f_i / f) and another with probability f_i/f - int(f_i/f). \n4. Tournament selection: select a pair of individuals and keep two copies of the winner of the tournament, or keep one copy of the winner plus p_t*winner or (1-p_t)*looser. Chance of survival depends on rank.
