Topic	Question	Answer
Weak assumptions to Factor Graphs	What assumptions do we make?	1
Weak assumptions to Factor Graphs	Advantages of the ordered Markov property	1
Weak assumptions to Factor Graphs	How do we represent graphs?	1
Weak assumptions to Factor Graphs	Give the table for connections and independencies for 3 directed connected nodes	1
Weak assumptions to Factor Graphs	Advantages and disadvantage of D-separation	1
Weak assumptions to Factor Graphs	Define I-map and P-map, Markov Blanket	1
Weak assumptions to Factor Graphs	State the Gibbs distribution, and the energy-based model	2
Weak assumptions to Factor Graphs	Define maximal cliques, graph separation. Advantages of graph separation	2
Weak assumptions to Factor Graphs	Summary of equivalences	2
Weak assumptions to Factor Graphs	State the intersection property between sets X,Y,Z	2
Weak assumptions to Factor Graphs	Define minimal I-maps, I-equivalence. Do we ever say UGs are I-equivalent?	2
Weak assumptions to Factor Graphs	When should we use DAGs vs UGs?	2
Weak assumptions to Factor Graphs	Why do we need Factor Graphs? What are the advantages of Factor Graphs?	3
Tutorials for Weak assumptions to Factor Graphs	Tutorial 1: Q1, Extra Q2	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 1: Q2, Extra Q1	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 1: Q3, Extra Q4	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 1: Q4, Extra Q3	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 2: Q1, Extra Q1	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 2: Q2, Q3	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 3: Q1, Extra Q2	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 3: Q2, Extra Q1	L
Tutorials for Weak assumptions to Factor Graphs	Tutorial 3: Q3	L
Exact Inference	Tutorial 4: Q1	
Exact Inference	Tutorial 4: Q2	
Exact Inference	Tutorial 4: Extra Q1	
Exact Inference	Key idea and advantages of Exact Inference	3
Exact Inference	Derive variable (bucket) elimination	3
Exact Inference	What is the sum-product/message passing algorithm? Advantages. What if the graph is not a tree?	3
Exact Inference	Do the lecture's example on max-product algorithm	
Exact Inference	What are the rules of message passing?	Notes for Tutorial 4
