Date	Correct	Answered	Wrong	Topic
Sat 15 Dec	1	29	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	Images and Image formation
Sat 15 Dec	14	18	[4, 12, 22, 24]	Images and Image formation
Sun 16 Dec	25	29	[12, 19, 22, 27]	Images and Image formation
Sun 16 Dec	0	18	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	Filtering and Edges
Sun 16 Dec	6	7	[4]	Filtering and Edges
Mon 17 Dec	20	21	[39]	('Images and Image formation', 'Filtering and Edges')
Mon 17 Dec	0	12	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	Interest Points, Descriptors and Matching
Tue 18 Dec	4	12	[2, 4, 5, 6, 7, 8, 9, 10]	Interest Points, Descriptors and Matching
Tue 18 Dec	2	10	[0, 1, 4, 5, 6, 7, 8, 9]	Object and Scene Recognition
Tue 18 Dec	9	9	[]	Object and Scene Recognition
Tue 18 Dec	0	6	[0, 1, 2, 3, 4, 5]	Object Detection and Counting
Tue 18 Dec	6	6	[]	Object Detection and Counting
Tue 18 Dec	0	13	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	Segmentation
Tue 18 Dec	7	13	[3, 4, 7, 8, 9, 10]	Segmentation
Tue 18 Dec	1	7	[1, 2, 3, 4, 5, 6]	Deep Learning
Wed 19 Dec	13	18	[11, 13, 19, 24, 33]	('Object and Scene Recognition', 'Object Detection and Counting', 'Segmentation', 'Deep Learning')
Thu 20 Dec	42	51	[27, 35, 64, 69, 72, 74, 75, 79, 81]	['Images and Image formation', 'Filtering and Edges', 'Interest Points, Descriptors and Matching', 'Object and Scene Recognition', 'Object Detection and Counting', 'Segmentation', 'Deep Learning']
